"page 5","Puis les mouches commencèrent à tomber et des remous agitaient régulièrement la casserole,","Then flies started to fall, and the water started to simmer."
,"alors les trois grenouilles se réunirent, admirent qu’il y avait un problème, ","So the three frogs met to admit there was a problem,"
,"agriculture intensive","intensive agriculture"
,"Rio 1992","Rio 1992"
,climato-sceptique,"climate skeptic"
,climato-cynique,"climate cynic"
,climato-critique,"climate critic"
,"et décidèrent qu’elles ne changeraient rien.  De toute façon, les mouches de synthèse de Fu avaient meilleur goût et les grenouilles avaient encore quelques doutes.","and decided that they would not change anything. In any case, Fu's synthetic flies tasted so good and they still had some doubts.   "
,"Le couvercle bien épais se solidifia donc dans l’idée de rester quelques heures sur place, de continuer à s’épaissir, et d’être encore plus étanche.","The quite thick lid then solidified, willing to stay  put for a few hours, to continue to thicken and to be tightly sealed."
"page 6","Burt se mit à chercher d’autres boutons de gaz parce que son obésité l’obligeait à plus de confort.","Burt started to look for other gas buttons,  his greed drove him to find more comfort."
,"gaz de schiste","shale gas"
,"gisements en Arctique","deposits in the Arctic"
,"Fu avait maintenant lui  aussi du confort, mais tout autour de lui avait une désagréable odeur de gaz. ","Fu now had comfort too, but everything around him had an unpleasant smell of gas."
,smog,smog
,réfugié,refugee
,"Dodji trouvait  que le fond de la casserole devenait invivable, et migra illégalement vers la surface.","Dodji thought the bottom of the pan was turning unbearable,  and illegally migrated to surface."
,"Il y eut d’autres remous et les trois grenouilles commencèrent à avoir des rougeurs.","And the fumes from the gas gave the three frogs a rash."
"page 7","Alors elles se réunirent encore une fois pour savoir si oui ou non elles pouvaient se permettre que l’eau de la casserole entre en ébullition. ","So they met once again to find out whether or not they  could afford for the water to come to a boil."
,"Copenhague 2009","Copenhagen 2009"
,"Il faisait déjà 45 °C.","It was already 45 °C (113 °F).    "
,"Burt dit que 20°C de plus était la limite à ne pas dépasser, mais qu’il ne renoncerait pas à son confort.","Burt said that 20°C (68°F) higher was where the line was drawn, but he would not give up his comfort."
,"Fu dit que 30°C de plus et une odeur de gaz était tout à fait supportable, qu’il comptait bien profiter du confort qu’il avait chèrement gagné, et qu’il pouvait fournir des mouches synthétiques à tous les habitants de la casserole.","Fu said that 30°C (86°F) higher and a smell of gas was completely bearable. He planned to make the most of the comforts he had hard earned, and that he could supply synthetic flies to all inhabitants of the pan."
,"Dodgi dit qu’il fallait juste couper le gaz et lui laisser sa part de mouches sauvages, mais les deux autres firent semblant de ne pas avoir entendu.","Dodgi said that they just had to cut off gas and leave him his share of wild flies, but the other two pretended not to have heard."
"page 8","Paris 2015","Paris 2015"
,"Au restaurant de la galaxie, on annonce","A galatic restaurant is advertising"
,"Plat du jour GRENOUILLES","Today's special FROGS"
,"SNACK BAR","SNACK BAR"
,"que de la grenouille   bouillie, cuite à la casserole-Terre, sera au menu ce midi.","boiled frogs, cooked     in the Earth-pot, for lunch today."
,"en 2100","in 2100"
,"Heureusement, personne n’est à l’abri d’une coupure de gaz.","Fortunately, no one is safe from having their gas shut off."
,"Cette œuvre est sous licence           © Camille Bissuel 2015 / www.nylnook.com Merci à Daniel Davidson www.SadMonkeyDesign.com pour ses textures, à Lucas Sheller www.lucascheller.de pour son shader d'eau, et à ma Sophie, pour avoir rendu cette BD possible... !","This work is licensed CC-by-sa © Camille Bissuel 2015 / www.nylnook.com Thanks to Daniel Davidson www.SadMonkeyDesign.com for its textures, to Lucas Sheller www.lucascheller.de for its water shader, to Allen Martsch hww.allenmartsch.com for his great english version review and to my Sophie, for making this comic possible... !"
,"ISBN 979-10-95663-00-3 Publié sur www.bookelis.com","ISBN 979-10-95663-01-0 Published on www.bookelis.com"
,,
,,
,,
"Strip on Paris COP21 agreement","COP21 Paris 2015","COP21 Paris 2015"
,"Mes chères grenouilles, c'est historique, nous sommes enfin d'accord !","My dear frogs, it's history, we finally agree!"
,"Le couvercle ne doit plus épaissir, et la température ne doit pas augmenter de plus de 15°C !","The lid must no longer thicken, and the temperature must not increase by more than 15°C!"
,"Mais attendez...","But wait..."
,"effet de serre","greenhouse effect"
,"On ne coupe pas le gaz ?","We're not cutting the gas ?"
,"la Terre",Earth
,"énergies fossiles","fossil fuels"
,♪,♪
,♫,♫
,"© Nylnook 2015","© Nylnook 2015"
